Season,Episode,Shot,duration,Time,Ross,Chandler,Joey,Rachel,Monica,Phoebe,Central Perk,Monica's Apartment,Chandler's Apartment,object,caption,caption_prob
7,6,1,0,0:00:00,0,0,0,0,0,0,1,0,0,,Monica frets when she meets one of Chandler's long-lost girlfriends and learns that he dumped her because she was fat. Phoebe and Rachel vie for the honor of becoming Monica's bridesmaid.,0.000709
7,6,1,1,0:00:01,0,0,0,0,0,0,1,0,0,,Monica frets when she meets one of Chandler's long-lost girlfriends and learns that he dumped her because she was fat. Phoebe and Rachel vie for the honor of becoming Monica's bridesmaid.,0.000709
7,6,1,2,0:00:02,0,0,0,1,0,0,1,0,0,tv_0.91;bowl_0.94;cup_0.59;knife_0.79;dining table_0.95;wine glass_0.98;chair_0.93;book_0.65,Monica frets when she meets one of Chandler's long-lost girlfriends and learns that he dumped her because she was fat. Phoebe and Rachel vie for the honor of becoming Monica's bridesmaid.,0.000709
7,6,2,3,0:00:03,0,0,0,1,0,0,0,1,0,tv_0.91;bowl_0.94;cup_0.59;knife_0.79;dining table_0.95;wine glass_0.98;chair_0.93;book_0.65,Monica frets when she meets one of Chandler's long-lost girlfriends and learns that he dumped her because she was fat. Phoebe and Rachel vie for the honor of becoming Monica's bridesmaid.,0.000709
7,6,2,4,0:00:04,0,0,0,1,0,0,0,1,0,tv_0.91;bowl_0.94;cup_0.59;knife_0.79;dining table_0.95;wine glass_0.98;chair_0.93;book_0.65,Monica frets when she meets one of Chandler's long-lost girlfriends and learns that he dumped her because she was fat. Phoebe and Rachel vie for the honor of becoming Monica's bridesmaid.,0.000709
7,6,2,5,0:00:05,0,0,0,0,1,0,0,1,0,bottle_0.96;vase_0.54;teddy bear_0.83;apple_0.42;cup_0.54;wine glass_0.98,Monica frets when she meets one of Chandler's long-lost girlfriends and learns that he dumped her because she was fat. Phoebe and Rachel vie for the honor of becoming Monica's bridesmaid.,0.000709
7,6,3,6,0:00:06,0,0,0,0,1,0,0,1,0,bottle_0.96;vase_0.54;teddy bear_0.83;apple_0.42;cup_0.54;wine glass_0.98,Monica frets when she meets one of Chandler's long-lost girlfriends and learns that he dumped her because she was fat. Phoebe and Rachel vie for the honor of becoming Monica's bridesmaid.,0.000709
7,6,3,7,0:00:07,0,0,0,0,1,0,0,1,0,bottle_0.96;vase_0.54;teddy bear_0.83;apple_0.42;cup_0.54;wine glass_0.98,Monica frets when she meets one of Chandler's long-lost girlfriends and learns that he dumped her because she was fat. Phoebe and Rachel vie for the honor of becoming Monica's bridesmaid.,0.000709
7,6,3,8,0:00:08,0,0,0,0,1,0,0,1,0,bottle_0.96;vase_0.54;teddy bear_0.83;apple_0.42;cup_0.54;wine glass_0.98,Monica frets when she meets one of Chandler's long-lost girlfriends and learns that he dumped her because she was fat. Phoebe and Rachel vie for the honor of becoming Monica's bridesmaid.,0.000709
7,6,3,9,0:00:09,0,0,0,1,1,1,0,1,0,vase_0.65;bowl_0.86;cup_0.61;dining table_0.96;potted plant_0.47;wine glass_0.96;chair_0.95,Monica frets when she meets one of Chandler's long-lost girlfriends and learns that he dumped her because she was fat. Phoebe and Rachel vie for the honor of becoming Monica's bridesmaid.,0.000709
7,6,4,10,0:00:10,0,0,0,1,0,1,0,1,0,vase_0.65;bowl_0.86;cup_0.61;dining table_0.96;potted plant_0.47;wine glass_0.96;chair_0.95,Monica frets when she meets one of Chandler's long-lost girlfriends and learns that he dumped her because she was fat. Phoebe and Rachel vie for the honor of becoming Monica's bridesmaid.,0.000709
7,6,4,11,0:00:11,0,0,0,1,0,1,0,1,0,vase_0.65;bowl_0.86;cup_0.61;dining table_0.96;potted plant_0.47;wine glass_0.96;chair_0.95,Monica frets when she meets one of Chandler's long-lost girlfriends and learns that he dumped her because she was fat. Phoebe and Rachel vie for the honor of becoming Monica's bridesmaid.,0.000709
7,6,4,12,0:00:12,0,0,0,1,0,1,0,1,0,tv_0.63;vase_0.44;hot dog_0.72;donut_0.37;wine glass_0.98;cake_0.85,Monica frets when she meets one of Chandler's long-lost girlfriends and learns that he dumped her because she was fat. Phoebe and Rachel vie for the honor of becoming Monica's bridesmaid.,0.000709
7,6,5,13,0:00:13,0,0,0,1,0,1,0,1,0,cup_0.82;chair_0.99;orange_0.65;wine glass_0.99,Monica frets when she meets one of Chandler's long-lost girlfriends and learns that he dumped her because she was fat. Phoebe and Rachel vie for the honor of becoming Monica's bridesmaid.,0.000709
7,6,6,14,0:00:14,0,0,0,1,0,1,0,1,0,vase_0.99;broccoli_0.37;wine glass_0.99;potted plant_0.52,Monica frets when she meets one of Chandler's long-lost girlfriends and learns that he dumped her because she was fat. Phoebe and Rachel vie for the honor of becoming Monica's bridesmaid.,0.000709
7,6,7,15,0:00:15,0,0,0,1,0,1,0,1,0,cup_0.87;chair_0.87;orange_0.88;wine glass_1.00,Monica frets when she meets one of Chandler's long-lost girlfriends and learns that he dumped her because she was fat. Phoebe and Rachel vie for the honor of becoming Monica's bridesmaid.,0.000709
7,6,8,16,0:00:16,0,0,0,0,1,1,0,1,0,bottle_0.98;tv_0.51;apple_0.59;teddy bear_0.68;cup_0.87;wine glass_0.97;dining table_0.58;broccoli_0.87;chair_0.86;cake_0.40,Monica frets when she meets one of Chandler's long-lost girlfriends and learns that he dumped her because she was fat. Phoebe and Rachel vie for the honor of becoming Monica's bridesmaid.,0.000709
7,6,9,17,0:00:17,0,0,0,0,1,0,0,1,0,bottle_0.98;tv_0.51;apple_0.59;teddy bear_0.68;cup_0.87;wine glass_0.97;dining table_0.58;broccoli_0.87;chair_0.86;cake_0.40,Monica frets when she meets one of Chandler's long-lost girlfriends and learns that he dumped her because she was fat. Phoebe and Rachel vie for the honor of becoming Monica's bridesmaid.,0.000709
7,6,9,18,0:00:18,0,0,0,0,1,0,0,1,0,bottle_0.98;tv_0.51;apple_0.59;teddy bear_0.68;cup_0.87;wine glass_0.97;dining table_0.58;broccoli_0.87;chair_0.86;cake_0.40,Monica frets when she meets one of Chandler's long-lost girlfriends and learns that he dumped her because she was fat. Phoebe and Rachel vie for the honor of becoming Monica's bridesmaid.,0.000709
7,6,9,19,0:00:19,0,0,0,0,1,0,0,1,0,bottle_0.98;tv_0.51;apple_0.59;teddy bear_0.68;cup_0.87;wine glass_0.97;dining table_0.58;broccoli_0.87;chair_0.86;cake_0.40,Monica frets when she meets one of Chandler's long-lost girlfriends and learns that he dumped her because she was fat. Phoebe and Rachel vie for the honor of becoming Monica's bridesmaid.,0.000709
