Season,Episode,Shot,duration,Time,Ross,Chandler,Joey,Rachel,Monica,Phoebe,Central Perk,Monica's Apartment,Chandler's Apartment,object,caption,caption_prob
7,7,1,0,0:00:00,0,0,0,0,0,0,1,0,0,,When Joey decides to stop dating a girl that Rachel and Phoebe have come to adore the ladies take action to change his mind. Ross fumes when he discovers the location of his dissertation in the university library.,0.000709
7,7,1,1,0:00:01,0,0,0,0,0,0,1,0,0,,When Joey decides to stop dating a girl that Rachel and Phoebe have come to adore the ladies take action to change his mind. Ross fumes when he discovers the location of his dissertation in the university library.,0.000709
7,7,1,2,0:00:02,0,0,0,0,0,0,1,0,0,laptop_0.46;backpack_0.43;microwave_0.91;sink_0.39;handbag_0.36;couch_0.95;dining table_0.58;chair_0.90;banana_0.36;suitcase_0.72;book_0.84,When Joey decides to stop dating a girl that Rachel and Phoebe have come to adore the ladies take action to change his mind. Ross fumes when he discovers the location of his dissertation in the university library.,0.000709
7,7,2,3,0:00:03,0,0,0,0,0,0,0,0,1,laptop_0.46;backpack_0.43;microwave_0.91;sink_0.39;handbag_0.36;couch_0.95;dining table_0.58;chair_0.90;banana_0.36;suitcase_0.72;book_0.84,When Joey decides to stop dating a girl that Rachel and Phoebe have come to adore the ladies take action to change his mind. Ross fumes when he discovers the location of his dissertation in the university library.,0.000709
7,7,2,4,0:00:04,0,0,0,0,0,0,0,0,1,laptop_0.46;backpack_0.43;microwave_0.91;sink_0.39;handbag_0.36;couch_0.95;dining table_0.58;chair_0.90;banana_0.36;suitcase_0.72;book_0.84,When Joey decides to stop dating a girl that Rachel and Phoebe have come to adore the ladies take action to change his mind. Ross fumes when he discovers the location of his dissertation in the university library.,0.000709
7,7,2,5,0:00:05,0,0,0,0,0,0,0,0,1,laptop_0.46;backpack_0.43;microwave_0.91;sink_0.39;handbag_0.36;couch_0.95;dining table_0.58;chair_0.90;banana_0.36;suitcase_0.72;book_0.84,When Joey decides to stop dating a girl that Rachel and Phoebe have come to adore the ladies take action to change his mind. Ross fumes when he discovers the location of his dissertation in the university library.,0.000709
7,7,2,6,0:00:06,0,0,0,0,0,0,0,0,1,laptop_0.46;backpack_0.43;microwave_0.91;sink_0.39;handbag_0.36;couch_0.95;dining table_0.58;chair_0.90;banana_0.36;suitcase_0.72;book_0.84,When Joey decides to stop dating a girl that Rachel and Phoebe have come to adore the ladies take action to change his mind. Ross fumes when he discovers the location of his dissertation in the university library.,0.000709
7,7,2,7,0:00:07,0,0,1,0,0,0,0,0,1,refrigerator_0.79;bottle_0.88;cell phone_0.86,When Joey decides to stop dating a girl that Rachel and Phoebe have come to adore the ladies take action to change his mind. Ross fumes when he discovers the location of his dissertation in the university library.,0.000709
7,7,3,8,0:00:08,0,0,1,0,0,0,0,0,1,refrigerator_0.79;bottle_0.88;cell phone_0.86,When Joey decides to stop dating a girl that Rachel and Phoebe have come to adore the ladies take action to change his mind. Ross fumes when he discovers the location of his dissertation in the university library.,0.000709
7,7,3,9,0:00:09,0,0,1,0,0,0,0,0,1,bottle_0.74;clock_0.39;teddy bear_0.96;couch_0.98;chair_0.97;microwave_0.84;book_0.93,When Joey decides to stop dating a girl that Rachel and Phoebe have come to adore the ladies take action to change his mind. Ross fumes when he discovers the location of his dissertation in the university library.,0.000709
7,7,4,10,0:00:10,0,0,0,0,0,0,0,1,0,bottle_0.74;clock_0.39;teddy bear_0.96;couch_0.98;chair_0.97;microwave_0.84;book_0.93,When Joey decides to stop dating a girl that Rachel and Phoebe have come to adore the ladies take action to change his mind. Ross fumes when he discovers the location of his dissertation in the university library.,0.000709
7,7,4,11,0:00:11,0,0,0,0,0,0,0,1,0,bottle_0.74;clock_0.39;teddy bear_0.96;couch_0.98;chair_0.97;microwave_0.84;book_0.93,When Joey decides to stop dating a girl that Rachel and Phoebe have come to adore the ladies take action to change his mind. Ross fumes when he discovers the location of his dissertation in the university library.,0.000709
7,7,4,12,0:00:12,0,0,0,0,0,0,0,1,0,bottle_0.74;clock_0.39;teddy bear_0.96;couch_0.98;chair_0.97;microwave_0.84;book_0.93,When Joey decides to stop dating a girl that Rachel and Phoebe have come to adore the ladies take action to change his mind. Ross fumes when he discovers the location of his dissertation in the university library.,0.000709
7,7,4,13,0:00:13,0,0,0,1,0,0,0,1,0,bottle_0.74;clock_0.39;teddy bear_0.96;couch_0.98;chair_0.97;microwave_0.84;book_0.93,When Joey decides to stop dating a girl that Rachel and Phoebe have come to adore the ladies take action to change his mind. Ross fumes when he discovers the location of his dissertation in the university library.,0.000709
7,7,4,14,0:00:14,0,0,0,1,0,0,0,1,0,dog_0.39,When Joey decides to stop dating a girl that Rachel and Phoebe have come to adore the ladies take action to change his mind. Ross fumes when he discovers the location of his dissertation in the university library.,0.000709
7,7,5,15,0:00:15,0,0,0,1,0,0,0,1,0,dog_0.39,When Joey decides to stop dating a girl that Rachel and Phoebe have come to adore the ladies take action to change his mind. Ross fumes when he discovers the location of his dissertation in the university library.,0.000709
7,7,5,16,0:00:16,0,0,1,1,0,0,0,1,0,laptop_0.57;bottle_0.86;tv_0.72;backpack_0.41;refrigerator_0.99;cup_0.63,When Joey decides to stop dating a girl that Rachel and Phoebe have come to adore the ladies take action to change his mind. Ross fumes when he discovers the location of his dissertation in the university library.,0.000709
7,7,6,17,0:00:17,0,0,1,0,0,0,0,0,1,laptop_0.57;bottle_0.86;tv_0.72;backpack_0.41;refrigerator_0.99;cup_0.63,When Joey decides to stop dating a girl that Rachel and Phoebe have come to adore the ladies take action to change his mind. Ross fumes when he discovers the location of his dissertation in the university library.,0.000709
7,7,6,18,0:00:18,0,0,1,0,0,0,0,0,1,laptop_0.57;bottle_0.86;tv_0.72;backpack_0.41;refrigerator_0.99;cup_0.63,When Joey decides to stop dating a girl that Rachel and Phoebe have come to adore the ladies take action to change his mind. Ross fumes when he discovers the location of his dissertation in the university library.,0.000709
7,7,6,19,0:00:19,0,0,1,0,0,0,0,0,1,laptop_0.57;bottle_0.86;tv_0.72;backpack_0.41;refrigerator_0.99;cup_0.63,When Joey decides to stop dating a girl that Rachel and Phoebe have come to adore the ladies take action to change his mind. Ross fumes when he discovers the location of his dissertation in the university library.,0.000709
7,7,6,20,0:00:20,0,0,0,1,0,0,0,0,1,chair_0.57;book_0.69,When Joey decides to stop dating a girl that Rachel and Phoebe have come to adore the ladies take action to change his mind. Ross fumes when he discovers the location of his dissertation in the university library.,0.000709
7,7,7,21,0:00:21,0,0,0,1,0,0,0,1,0,chair_0.60;couch_0.55;book_0.55,When Joey decides to stop dating a girl that Rachel and Phoebe have come to adore the ladies take action to change his mind. Ross fumes when he discovers the location of his dissertation in the university library.,0.000709
