Season,Episode,Shot,duration,Time,Ross,Chandler,Joey,Rachel,Monica,Phoebe,Central Perk,Monica's Apartment,Chandler's Apartment,object,caption,caption_prob
7,4,1,0,0:00:00,0,0,0,0,0,0,1,0,0,,When Rachel is promoted she gleefully considers hiring an inexperienced hunk as her executive assistant. In a free-for-all tell-all game Chandler and Monica expose humiliating secrets from each other's pasts.,0.000709
7,4,1,1,0:00:01,0,0,0,0,0,0,1,0,0,,When Rachel is promoted she gleefully considers hiring an inexperienced hunk as her executive assistant. In a free-for-all tell-all game Chandler and Monica expose humiliating secrets from each other's pasts.,0.000709
7,4,1,2,0:00:02,0,0,0,0,0,0,1,0,0,bed_0.89;vase_0.82;bottle_0.83;tv_1.00;potted plant_0.91,When Rachel is promoted she gleefully considers hiring an inexperienced hunk as her executive assistant. In a free-for-all tell-all game Chandler and Monica expose humiliating secrets from each other's pasts.,0.000709
7,4,2,3,0:00:03,0,0,0,0,0,0,1,0,0,bed_0.89;vase_0.82;bottle_0.83;tv_1.00;potted plant_0.91,When Rachel is promoted she gleefully considers hiring an inexperienced hunk as her executive assistant. In a free-for-all tell-all game Chandler and Monica expose humiliating secrets from each other's pasts.,0.000709
7,4,2,4,0:00:04,0,0,0,0,0,0,1,0,0,book_0.62;vase_0.58;tv_1.00;dining table_0.56;backpack_0.54,When Rachel is promoted she gleefully considers hiring an inexperienced hunk as her executive assistant. In a free-for-all tell-all game Chandler and Monica expose humiliating secrets from each other's pasts.,0.000709
7,4,3,5,0:00:05,0,0,1,0,0,0,1,0,0,book_0.62;vase_0.58;tv_1.00;dining table_0.56;backpack_0.54,When Rachel is promoted she gleefully considers hiring an inexperienced hunk as her executive assistant. In a free-for-all tell-all game Chandler and Monica expose humiliating secrets from each other's pasts.,0.000709
7,4,3,6,0:00:06,0,0,1,0,0,0,1,0,0,book_0.62;vase_0.58;tv_1.00;dining table_0.56;backpack_0.54,When Rachel is promoted she gleefully considers hiring an inexperienced hunk as her executive assistant. In a free-for-all tell-all game Chandler and Monica expose humiliating secrets from each other's pasts.,0.000709
7,4,3,7,0:00:07,0,0,1,0,0,0,1,0,0,book_0.62;vase_0.58;tv_1.00;dining table_0.56;backpack_0.54,When Rachel is promoted she gleefully considers hiring an inexperienced hunk as her executive assistant. In a free-for-all tell-all game Chandler and Monica expose humiliating secrets from each other's pasts.,0.000709
7,4,3,8,0:00:08,0,0,1,0,0,0,1,0,0,book_0.62;vase_0.58;tv_1.00;dining table_0.56;backpack_0.54,When Rachel is promoted she gleefully considers hiring an inexperienced hunk as her executive assistant. In a free-for-all tell-all game Chandler and Monica expose humiliating secrets from each other's pasts.,0.000709
7,4,3,9,0:00:09,0,0,1,1,0,0,1,0,0,laptop_0.92;couch_0.95;umbrella_0.47;chair_0.57;potted plant_0.38,When Rachel is promoted she gleefully considers hiring an inexperienced hunk as her executive assistant. In a free-for-all tell-all game Chandler and Monica expose humiliating secrets from each other's pasts.,0.000709
