Season,Episode,Shot,duration,Time,Ross,Chandler,Joey,Rachel,Monica,Phoebe,Central Perk,Monica's Apartment,Chandler's Apartment,object,caption,caption_prob
7,10,1,0,0:00:00,0,0,0,0,0,0,1,0,0,,Ross wants to introduce son Ben to Chanukah. In order to entice Rachel to move back into their refurbished apartment Phoebe must drive a wedge between Rachel and current roomie Joey.,0.000709
7,10,1,1,0:00:01,0,0,0,0,0,0,1,0,0,,Ross wants to introduce son Ben to Chanukah. In order to entice Rachel to move back into their refurbished apartment Phoebe must drive a wedge between Rachel and current roomie Joey.,0.000709
7,10,1,2,0:00:02,0,0,0,0,0,0,1,0,0,clock_0.65;bottle_0.64;vase_0.70;refrigerator_1.00;cup_0.60;oven_1.00;dining table_0.86;bowl_0.63;potted plant_0.57;wine glass_0.72;chair_1.00;book_0.39,Ross wants to introduce son Ben to Chanukah. In order to entice Rachel to move back into their refurbished apartment Phoebe must drive a wedge between Rachel and current roomie Joey.,0.000709
7,10,2,3,0:00:03,0,0,0,0,0,0,0,1,0,clock_0.65;bottle_0.64;vase_0.70;refrigerator_1.00;cup_0.60;oven_1.00;dining table_0.86;bowl_0.63;potted plant_0.57;wine glass_0.72;chair_1.00;book_0.39,Ross wants to introduce son Ben to Chanukah. In order to entice Rachel to move back into their refurbished apartment Phoebe must drive a wedge between Rachel and current roomie Joey.,0.000709
7,10,2,4,0:00:04,0,0,0,0,0,0,0,1,0,clock_0.65;bottle_0.64;vase_0.70;refrigerator_1.00;cup_0.60;oven_1.00;dining table_0.86;bowl_0.63;potted plant_0.57;wine glass_0.72;chair_1.00;book_0.39,Ross wants to introduce son Ben to Chanukah. In order to entice Rachel to move back into their refurbished apartment Phoebe must drive a wedge between Rachel and current roomie Joey.,0.000709
7,10,2,5,0:00:05,0,0,0,0,0,0,0,1,0,clock_0.65;bottle_0.64;vase_0.70;refrigerator_1.00;cup_0.60;oven_1.00;dining table_0.86;bowl_0.63;potted plant_0.57;wine glass_0.72;chair_1.00;book_0.39,Ross wants to introduce son Ben to Chanukah. In order to entice Rachel to move back into their refurbished apartment Phoebe must drive a wedge between Rachel and current roomie Joey.,0.000709
7,10,2,6,0:00:06,0,0,0,0,0,0,0,1,0,clock_0.65;bottle_0.64;vase_0.70;refrigerator_1.00;cup_0.60;oven_1.00;dining table_0.86;bowl_0.63;potted plant_0.57;wine glass_0.72;chair_1.00;book_0.39,Ross wants to introduce son Ben to Chanukah. In order to entice Rachel to move back into their refurbished apartment Phoebe must drive a wedge between Rachel and current roomie Joey.,0.000709
7,10,2,7,0:00:07,0,1,0,0,0,0,0,1,0,bottle_0.96;backpack_0.38;vase_0.92;bowl_0.50;handbag_0.40;apple_0.35;toilet_0.85;cup_0.58;potted plant_0.93;chair_0.77;book_0.68,Ross wants to introduce son Ben to Chanukah. In order to entice Rachel to move back into their refurbished apartment Phoebe must drive a wedge between Rachel and current roomie Joey.,0.000709
7,10,3,8,0:00:08,0,1,0,0,0,0,0,1,0,bottle_0.96;backpack_0.38;vase_0.92;bowl_0.50;handbag_0.40;apple_0.35;toilet_0.85;cup_0.58;potted plant_0.93;chair_0.77;book_0.68,Ross wants to introduce son Ben to Chanukah. In order to entice Rachel to move back into their refurbished apartment Phoebe must drive a wedge between Rachel and current roomie Joey.,0.000709
7,10,3,9,0:00:09,0,1,0,0,0,0,0,1,0,bottle_0.96;backpack_0.38;vase_0.92;bowl_0.50;handbag_0.40;apple_0.35;toilet_0.85;cup_0.58;potted plant_0.93;chair_0.77;book_0.68,Ross wants to introduce son Ben to Chanukah. In order to entice Rachel to move back into their refurbished apartment Phoebe must drive a wedge between Rachel and current roomie Joey.,0.000709
7,10,3,10,0:00:10,0,1,0,0,0,0,0,1,0,bottle_0.96;backpack_0.38;vase_0.92;bowl_0.50;handbag_0.40;apple_0.35;toilet_0.85;cup_0.58;potted plant_0.93;chair_0.77;book_0.68,Ross wants to introduce son Ben to Chanukah. In order to entice Rachel to move back into their refurbished apartment Phoebe must drive a wedge between Rachel and current roomie Joey.,0.000709
